Timestamp,Where are you located? (Country and/or nearest Major city or hubs names),Biotech sub industry?,[OPTIONAL] Company Name,Company Details - public/private/start-up/ subsidiary of ,Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,[OPTIONAL]  Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value
7/20/2022 15:38:05,Maryland,Pharmaceutical (including “big pharma”),,Public,50-200,Associate Principal Scientist,PhD or Equivalent,10,135000,20%,"$10,000",,10000
7/21/2022 19:47:39,New York City,Pharmaceutical (including “big pharma”),Preclinical startup - CNS & rare disease,Public,1-50,"Senior Director, Corporate Communications ",Bachelors or Equivalent,14,235000,50000,Not Applicable/None,20000,
7/22/2022 19:24:14,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,2,85000,8.5k,Not Applicable/None,7500,
7/23/2022 19:54:30,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Private,50-200,Associate Scientist,Bachelors or Equivalent,6,101000,12620,Not Applicable/None,0,0
7/25/2022 16:33:27,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Research Associate,Bachelors or Equivalent,3,85000,8500,Not Applicable/None,,
7/26/2022 22:11:14,"Research Triangle, NC",Pharmaceutical (including “big pharma”),Xilis,Start-up,50-200,Lab Technologist,Masters or Equivalent,0,46400,Not Applicable/None,1000,,
8/8/2022 15:22:23,Boston,diagnostics,,Public,1000-5000,research associate,Bachelors or Equivalent,4,73000,7%,Not Applicable/None,,
8/8/2022 16:43:49,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Associate Director,PhD or Equivalent,15,185000,41625,20000,,
8/8/2022 18:56:17,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate I,Bachelors or Equivalent,0,65000,5%,Not Applicable/None,5000,
8/8/2022 20:00:58,Remote,Pharmaceutical (including “big pharma”),,Private,50-200,Validation Engineering Manager,Bachelors or Equivalent,4,110000,Not Applicable/None,Not Applicable/None,0,0
8/8/2022 21:02:39,Boston,Pharmaceutical (including “big pharma”),,Start-up,1000-5000,Process engineer II,Bachelors or Equivalent,5,99750,Not Applicable/None,Not Applicable/None,,
8/9/2022 3:04:46,"Vancouver, Canada",Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,3,87000,9000,Not Applicable/None,,
8/10/2022 14:31:17,New Jersey,Pharmaceutical (including “big pharma”),Bristol Myer Squibb,Public,5000+,Manufacturing Associate,Bachelors or Equivalent,0,70000,Not Applicable/None,Not Applicable/None,,
8/11/2022 18:43:05,South San Francisco,Biotech,,Public,50-200,Research Associate I,Bachelors or Equivalent,0,80000,Not Applicable/None,Not Applicable/None,,
8/12/2022 8:13:28,Boston,Pharmaceutical (including “big pharma”),,Private,5000+,Manufacturing Supervisor,Masters or Equivalent,5,10000,8000,Not Applicable/None,0,0
8/13/2022 10:14:10,"Boston, US",Pharmaceutical (including “big pharma”),,Private,1-50,Clinical Research Project Lead,Bachelors or Equivalent,2,90000,Not Applicable/None,Not Applicable/None,,
9/10/2022 15:53:39,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,"Associate Director, Process Development",PhD or Equivalent,7,185000,35000,10000,35000,0
9/13/2022 22:17:39,"Philadelphia, PA",Pharmaceutical (including “big pharma”),,Public,5000+,Associate Director,PhD or Equivalent,7,157000,28260,28260,40000,10000
9/14/2022 2:01:26,Bay Area,Pharmaceutical (including “big pharma”),,Private,1-50,Scientist,PhD or Equivalent,0,130000,Not Applicable/None,6000,,
9/15/2022 3:07:09,Switzerland,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Director,Masters or Equivalent,9,180000,50000,16000,5000,
9/15/2022 9:11:18,Boston,Academia/Research,,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,1,54000,Not Applicable/None,Not Applicable/None,,2500
9/15/2022 11:02:15,Greater Boston,Pharmaceutical (including “big pharma”),,Public,1-50,Principal Scientist,PhD or Equivalent,4,160000,24000,10000,0,0
9/15/2022 20:41:23,Boston,Pharmaceutical (including “big pharma”),,Private,200-1000,Program Manager ,PhD or Equivalent,3,140000,Not Applicable/None,Not Applicable/None,,
9/16/2022 3:48:52,"Irvine, CA",Biotech,Zymo Research,Private,50-200,Research Associate I,Bachelors or Equivalent,0,62400,Not Applicable/None,Not Applicable/None,,
9/16/2022 8:23:17,"Kansas City, Missouri, United States",Pharmaceutical (including “big pharma”),Catalent ,Public,5000+,Senior Associate Scientist,Bachelors or Equivalent,2,64500,Not Applicable/None,Not Applicable/None,,
9/16/2022 9:15:46,Seattle,Pharmaceutical (including “big pharma”),,Subsidiary,50-200,Senior Research Associate ,Masters or Equivalent,5,85000,10000,Not Applicable/None,10000,
9/16/2022 10:22:25,Boston,Academia/Research,,Start-up,50-200,Senior Scientist ,PhD or Equivalent,8,154000,25000,Not Applicable/None,,
9/16/2022 10:59:11,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Sr. Scientist,PhD or Equivalent,5,150000,15%,Not Applicable/None,10000,
9/16/2022 12:46:15,North Carolina,Medical Devices,,Private,1-50,Product Manager,PhD or Equivalent,4,110000,20000,Not Applicable/None,,
9/16/2022 12:54:16,Bay Area,Pharmaceutical (including “big pharma”),,Private,5000+,Sr. Scientist,PhD or Equivalent,5,185000,32000,30000,10000,
9/16/2022 12:55:46,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Principal Scientist,PhD or Equivalent,5,210000,40000,25000,12000,
9/16/2022 12:57:27,Boston,Pharmaceutical (including “big pharma”),,Private,1-50,Sr. Scientist,PhD or Equivalent,3,165000,Not Applicable/None,Not Applicable/None,,
9/16/2022 12:58:35,Bay Area,Pharmaceutical (including “big pharma”),,Private,1-50,Sr. Scientist,PhD or Equivalent,3,185000,Not Applicable/None,30000,10000,
9/16/2022 12:59:27,Bay Area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr. Scientist,PhD or Equivalent,4,167000,Not Applicable/None,12000,2000,
9/16/2022 16:29:00,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Research Associate Ii,M.D./PharmD/D.D.S. or Equivalent,5,90000,9000,1500,,
9/16/2022 17:32:17,San Diego,Pharmaceutical (including “big pharma”),,Start-up,50-200,Director,PhD or Equivalent,17,200000,40000,5000,10000,
9/16/2022 18:24:43,Los Angeles,Pharmaceutical (including “big pharma”),,Subsidiary,1000-5000,QC Microbiology Tech,Bachelors or Equivalent,2,52000,Not Applicable/None,Not Applicable/None,8000,
9/16/2022 18:53:14,RTP,Pharmaceutical (including “big pharma”),,Private,200-1000,Scientist II,PhD or Equivalent,2,115000,11500,Not Applicable/None,,
9/16/2022 19:28:38,Boston,molecular bio,,Private,200-1000,Scientist I,Masters or Equivalent,0,70,14,Not Applicable/None,,
9/16/2022 20:50:00,Remote,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist,Bachelors or Equivalent,5,112000,14560,Not Applicable/None,,
9/16/2022 22:47:20,Los Ángeles ,Pharmaceutical (including “big pharma”),ImmunityBio ,Public,200-1000,"Associate, Document Control ",Bachelors or Equivalent,3,67000,Not Applicable/None,Not Applicable/None,0,0
9/16/2022 23:04:12,"RTP, NC",Academia/Research,United Therapeatics ,Private,50-200,Bioprocess Technician,Bachelors or Equivalent,1,62500,12000,Not Applicable/None,,
9/16/2022 23:14:04,San Diego,Medical Devices,,Subsidiary,200-1000,Scientist III,PhD or Equivalent,8,123600,Not Applicable/None,Not Applicable/None,5000,
9/16/2022 23:34:23,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Sr. Scientist,PhD or Equivalent,6,135000,12%,15000,,
9/16/2022 23:42:12,San Francisco CA,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist II,PhD or Equivalent,2,124000,TBD,TBD,1500,0
9/17/2022 1:43:27,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist I,Bachelors or Equivalent,8,147500,19000,Not Applicable/None,12000,
9/18/2022 11:02:20,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Principal scientist ,PhD or Equivalent,6,160000,15%,Not Applicable/None,13000,
9/18/2022 22:05:59,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Director,PhD or Equivalent,14,220000,44000,15000,25000,
9/19/2022 12:06:33,Toronto ,Pharmaceutical (including “big pharma”),,Start-up,50-200,Bioinformatics Engineer,Masters or Equivalent,3,128000,10000,Not Applicable/None,,
9/19/2022 16:47:14,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Field Application Scientist (FAS),PhD or Equivalent,1,110000,20000,7500,5000,
9/19/2022 21:48:32,NJ-Philadelphia,Pharmaceutical (including “big pharma”),,Public,1000-5000,Group Leader - Director ,PhD or Equivalent,18,225000,56000,40000,,10000
9/20/2022 2:05:45,Boston,Pharmaceutical (including “big pharma”),GlaxoSmithKline,Public,5000+,Computational Biologist,PhD or Equivalent,6,150000,18000,Not Applicable/None,10000,5000
9/20/2022 2:09:15,Seattle,Biotech ,,Public,50-200,Associate Director,Masters or Equivalent,20,210000,17%,Not Applicable/None,,
9/25/2022 1:56:08,Central/North Jersey,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Public,5000+,"Associate Scientist, QC Flow Cytometry",Bachelors or Equivalent,1,80000,6400,7500,10000,0
9/29/2022 21:16:24,Boston,Pharmaceutical (including “big pharma”),Alloy,Start-up,50-200,Ops Associate,Masters or Equivalent,1,87500,Not Applicable/None,Not Applicable/None,,
9/30/2022 0:01:26,Bay Area,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,PhD or Equivalent,0,160000,24000,24000,60000,120000
9/30/2022 0:13:21,Bay Area,Agriculture/Food,,Private,50-200,Research Associate ,Masters or Equivalent,2,72000,Not Applicable/None,60000,,
10/1/2022 16:15:41,Boston,Academia/Research,BIDMC,Academia/College/Universities,1-50,RA II,Bachelors or Equivalent,1,36000,Not Applicable/None,Not Applicable/None,,
10/1/2022 17:30:41,St. Louis,Pharmaceutical (including “big pharma”),,Private,5000+,Project Manager,Bachelors or Equivalent,3,70000,5% target ,Not Applicable/None,,
10/1/2022 17:34:17,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,External Manufacturing Senior Manager,Masters or Equivalent,9,160000,30000,35000,0,0
10/1/2022 17:48:41,"Portland, OR",Synbio,Amyris,Public,1000-5000,Software Engineer II,Bachelors or Equivalent,5,120000,Not Applicable/None,10000,12000,
10/1/2022 18:23:28,Bay Area,Biotech,,Start-up,50-200,Scientist II,PhD or Equivalent,1,124000,Not Applicable/None,Not Applicable/None,,2500
10/1/2022 19:00:50,"Austin, TX",Pharmaceutical (including “big pharma”),,Public,50-200,Associate Scientist,Bachelors or Equivalent,3,65000,3250,Not Applicable/None,,
10/1/2022 19:07:55,San Diego,Medical Devices,Quidel,Public,1000-5000,Research Associate II,Bachelors or Equivalent,2,61000,Not Applicable/None,Not Applicable/None,,
10/1/2022 20:07:08,San diego,Pharmaceutical (including “big pharma”),,Private,1-50,Principal scientist ,PhD or Equivalent,4,150000,Not Applicable/None,Not Applicable/None,,
10/1/2022 20:31:19,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Public,50-200,Senior Scientist ,PhD or Equivalent,2,145000,25000,Not Applicable/None,5000,5000
10/1/2022 20:36:09,Bay Area,Diagnostics,,Start-up,200-1000,Principal Scientist,PhD or Equivalent,5,140000,Not Applicable/None,30000,,2000
10/1/2022 21:23:20,Bay Area,Academia/Research,,Private,50-200,Scientist,PhD or Equivalent,0,115000,14950,Not Applicable/None,,2500
10/1/2022 22:04:52,Bay Area,Academia/Research,,Public,1000-5000,Senior Research Associate 1,Masters or Equivalent,2,95000,5700,10000,,7000
10/1/2022 22:37:07,Baltimore,Pharmaceutical (including “big pharma”),Catalent ,Public,5000+,Manufacturing Associate II,Bachelors or Equivalent,2,73000,3500,Not Applicable/None,,5000
10/1/2022 23:17:27,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Computational scientist ,PhD or Equivalent,1,143000,17000,5000,15000,
10/2/2022 0:17:07,"Seattle, WA",Pharmaceutical (including “big pharma”),,Public,5000+,MSAT Engineer 2,Bachelors or Equivalent,4,95000,10%,7500,0,0
10/2/2022 1:20:08,Sacramento,Medical Devices,Cepheid,Subsidiary,1000-5000,Scientist,Bachelors or Equivalent,7,100000,"10,000",Not Applicable/None,10000,8000
10/2/2022 1:31:46,"Baltimore, MD",Pharmaceutical (including “big pharma”),,Private,1-50,Scientist,PhD or Equivalent,1,72000,Not Applicable/None,Not Applicable/None,,
10/2/2022 2:47:32,Bay Area,Academia/Research,Chan Zuckerberg Biohub,Private,200-1000,Research Associate I,Bachelors or Equivalent,2,76000,Annual 3% bonuses with performance multipliers. ,Not Applicable/None,0,2000
10/2/2022 4:02:21,Germany,Pharmaceutical (including “big pharma”),Abbvie ,Public,5000+,Project Engineer,Masters or Equivalent,4,77000,Not Applicable/None,Not Applicable/None,,
10/2/2022 6:53:29,Boston,Biosynthesis,,Start-up,50-200,Scientist,PhD or Equivalent,0,100000,Not Applicable/None,Not Applicable/None,,5000
10/2/2022 9:23:21,San Diego,Medical Devices,,Private,200-1000,Principal Scientist ,PhD or Equivalent,6,264000,52000,175000,0,0
10/2/2022 9:44:04,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Scientist ,Bachelors or Equivalent,10,115000,15000,14000,,15000
10/2/2022 14:38:08,Raleigh-Durham,Pharmaceutical (including “big pharma”),CSL Seqirus,Public,1000-5000,Scientific Associate II,Bachelors or Equivalent,6,93000,9300,Not Applicable/None,,
10/2/2022 16:27:59,Bay Area,Pharmaceutical (including “big pharma”),,Private,200-1000,Associate Director,PhD or Equivalent,12,197000,35000,100000,,
10/3/2022 22:10:51,Toronto,Pharmaceutical (including “big pharma”),,Private,200-1000,Scientist I,PhD or Equivalent,0,110000,12000-20000,Not Applicable/None,,
10/4/2022 11:52:10,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Associate Engineer II,Bachelors or Equivalent,4,110000,Not Applicable/None,Not Applicable/None,0,0
10/4/2022 21:06:57,"Boston, MA",Pharmaceutical (including “big pharma”),,Public,1000-5000,Principal Scientist,PhD or Equivalent,6,175000,32000,30000,15000,10000
10/5/2022 20:27:27,"New England, not Boston",Pharmaceutical (including “big pharma”),,Public,5000+,Assoc Dir,Masters or Equivalent,11,170,25k,25k - 100k,,
10/6/2022 0:16:33,Bay Area ,Pharmaceutical (including “big pharma”),Merck,Public,5000+,Senior scientist 1,PhD or Equivalent,1,143000,Not Applicable/None,Not Applicable/None,,
10/6/2022 0:16:43,Bay Area ,Pharmaceutical (including “big pharma”),Merck,Public,5000+,Senior scientist 1,PhD or Equivalent,1,143000,Not Applicable/None,Not Applicable/None,,
10/6/2022 8:00:26,Boston,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist I,Bachelors or Equivalent,8,120000,10%,Not Applicable/None,,
10/8/2022 14:38:17,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Corp Dev Analyst,Masters or Equivalent,3,95000,Not Applicable/None,Not Applicable/None,,5000
10/9/2022 1:27:22,Bay area,Medical Devices,,Public,200-1000,Vp,PhD or Equivalent,25,360000,60000,Not Applicable/None,,
10/9/2022 1:31:28,San Diego ,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist I,PhD or Equivalent,6,180000,20% (0-200%),Not Applicable/None,90000,
10/10/2022 17:33:09,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Associate Scientist,Bachelors or Equivalent,5,110000,11000,Not Applicable/None,,15000
10/16/2022 20:58:41,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Director ,PhD or Equivalent,6,161000,16%,"50,000",10000,
10/16/2022 21:24:10,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,Sr Clinical Research Coordinator,Bachelors or Equivalent,3,87000,7000,Not Applicable/None,,
10/16/2022 21:40:34,Bay Area,Pharmaceutical (including “big pharma”),Genentech,Private,5000+,Senior Scientific Researcher,Bachelors or Equivalent,5,160000,16000,Not Applicable/None,,
10/16/2022 22:28:50,San Diego ,Medical Devices,Illumina,Public,5000+,Scientist II,Bachelors or Equivalent,8,85000,6000,Not Applicable/None,,
10/16/2022 22:32:27,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate,Masters or Equivalent,5,90000,9000,6000,,
10/16/2022 22:32:42,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr. Manager,Masters or Equivalent,4,185000,Not Applicable/None,Not Applicable/None,,
10/17/2022 0:45:48,Houston ,Pharmaceutical (including “big pharma”),,Public,5000+,Process Engineer,Bachelors or Equivalent,3,100000,Not Applicable/None,Not Applicable/None,,
10/17/2022 7:13:35,NJ,Pharmaceutical (including “big pharma”),BMS,Public,5000+,Associate Director ,PhD or Equivalent,21,192000,36000,22500,,
10/17/2022 8:04:38,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Senior scientist,PhD or Equivalent,0,120000,8%,Not Applicable/None,,
10/17/2022 9:48:11,Boston,Pharmaceutical (including “big pharma”),Alnylam,Public,1000-5000,Sr. Specialist,Masters or Equivalent,6,120000,15000,"10,000",,
10/17/2022 11:22:29,Cambridge,Pharmaceutical (including “big pharma”),,Start-up,1-50,Associate Scientist,Bachelors or Equivalent,2,78000,6240,Not Applicable/None,10000,
10/17/2022 12:05:51,Boston,Pharmaceutical (including “big pharma”),Pfizer,Public,5000+,Senior Associate Scientist,Bachelors or Equivalent,3,84000,5000,Not Applicable/None,5000,
10/17/2022 12:37:51,"Cincinnati, Ohio",Academia/Research,,Academia/College/Universities,5000+,Research assistant,Bachelors or Equivalent,10,60000,Not Applicable/None,Not Applicable/None,,
10/17/2022 13:37:14,Midwest,Pharmaceutical (including “big pharma”),PPD,Public,5000+,Senior Research Scientist,PhD or Equivalent,6,103000,Not Applicable/None,Not Applicable/None,,
10/17/2022 13:54:09,Los Angeles ,Pharmaceutical (including “big pharma”),,Public,5000+,Research Associate 111,Bachelors or Equivalent,4,102000,Not Applicable/None,Not Applicable/None,,
10/17/2022 14:01:26,Philadelphia ,Pharmaceutical (including “big pharma”),,Private,5000+,Scientist ,Bachelors or Equivalent,6,88588,6000,Not Applicable/None,,
10/17/2022 16:30:30,Maryland,Pharmaceutical (including “big pharma”),,Public,1000-5000,Senior Scientist,PhD or Equivalent,3,140000,21000,10000,0,0
10/17/2022 23:57:05,CA,Academia/Research,Hospital ,Academia/College/Universities,1-50,Clinical research coordinator ,Bachelors or Equivalent,2,75000,Not Applicable/None,Not Applicable/None,,
10/18/2022 6:23:34,Boston,Academia/Research,,Public,200-1000,Associate Director ,PhD or Equivalent,17,160000,Not Applicable/None,Not Applicable/None,,9000
10/18/2022 20:13:57,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist,PhD or Equivalent,8,130000,20000,20000,,
10/19/2022 18:15:01,Salt Lake City,Academia/Research,,Start-up,1-50,Research Associate,Bachelors or Equivalent,3,53000,Not Applicable/None,Not Applicable/None,1000,
10/20/2022 22:04:27,Saint Louis,Agriculture/Food,NewLeaf,Start-up,50-200,Research Associate,Bachelors or Equivalent,1,56000,8400,Not Applicable/None,0,2500
10/21/2022 6:19:13,Devens ,Pharmaceutical (including “big pharma”),Bristol Myers Squibb (contractor via Spectraforce Technologies),Public,5000+,Field QA Specialist,Bachelors or Equivalent,2,120000,Not Applicable/None,Not Applicable/None,0,0
10/21/2022 15:18:42,NJ-Philly-DE,Pharmaceutical (including “big pharma”),,Public,1000-5000,Research Scientist,Masters or Equivalent,2,99000,10%-15%,25000,10000,
10/21/2022 15:19:09,Canada,Pharmaceutical (including “big pharma”),Phyton Biotech,Private,50-200,Chemical Operations Technologist I,Bachelors or Equivalent,0,52500,Not Applicable/None,Not Applicable/None,,
10/21/2022 21:08:55,Seattle,Pharmaceutical (including “big pharma”),,Private,200-1000,Scientist I,PhD or Equivalent,1,80000,Not Applicable/None,Not Applicable/None,6000,
10/22/2022 0:25:13,RTP,Pharmaceutical (including “big pharma”),,Public,5000+,Engineer II,Bachelors or Equivalent,2,80000,8000,3000,,
10/22/2022 3:39:45,bay area,Animal Health,,Public,5000+,scientist,PhD or Equivalent,0,100000,0-8%,Not Applicable/None,,
10/22/2022 9:02:06,Seattle ,Pharmaceutical (including “big pharma”),,Private,1-50,RandD engineer 2,Masters or Equivalent,2,90000,Not Applicable/None,Not Applicable/None,,
10/25/2022 0:33:15,SF Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Sr Director,PhD or Equivalent,12,250000,56000,Not Applicable/None,,
10/27/2022 10:44:19,Philadelphia,RNA,,Start-up,1-50,Corporate Operations Manager,Masters or Equivalent,4,70000,10%,Not Applicable/None,,
10/27/2022 14:42:10,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Senior manager ,Bachelors or Equivalent,7,140000,16%,Not Applicable/None,,
10/30/2022 3:09:38,San Diego,Pharmaceutical (including “big pharma”),,Private,200-1000,CQV Engineer II,Bachelors or Equivalent,4,110000,10%,Not Applicable/None,,10000
